[2025-12-04 14:43:35] (PID 30245) [MAIN] PROGRAM STARTED
[2025-12-04 14:43:35] (PID 30245) [MAIN] Main program running
[2025-12-04 14:43:35] (PID 30248) [TARG] Avviato (fd_in=13, fd_out=16)
[2025-12-04 14:43:35] (PID 30247) [OBST] Avviato (fd_in=9, fd_out=12)
[2025-12-04 14:43:36] (PID 30282) [BB] main avviato
[2025-12-04 14:43:36] (PID 30248) [TARG] Ricevute dimensioni finestra 66x40
[2025-12-04 14:43:36] (PID 30247) [OBST] Generati 12 ostacoli per grid 66x40
[2025-12-04 14:43:36] (PID 30247) [OBST] Inviati 12 ostacoli a blackboard (width=66 height=40)
[2025-12-04 14:43:36] (PID 30248) [TARG] Ricevuti 12 ostacoli
[2025-12-04 14:43:36] (PID 30248) [TARG] Generati 2 target per grid 66x40
[2025-12-04 14:43:36] (PID 30248) [TARG] Inviati 2 target a blackboard
[2025-12-04 14:43:36] (PID 30250) [DRONE] Initial drone position: (x = 33.000000, y = 20.000000)
[2025-12-04 14:43:39] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 1.000000, Fy = 0.000000
[2025-12-04 14:55:03] (PID 30250) [DRONE] Input received, force updated, command: e, Fx = -15.000000, Fy = -1.000000
[2025-12-04 14:55:03] (PID 30250) [DRONE] Input received, force updated, command: e, Fx = -15.000000, Fy = -2.000000
[2025-12-04 14:55:04] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = -14.000000, Fy = -2.000000
[2025-12-04 14:55:04] (PID 30250) [DRONE] Input received, force updated, command: d, Fx = -7.000000, Fy = -1.000000
[2025-12-04 14:55:04] (PID 30250) [DRONE] Input received, force updated, command: d, Fx = -3.500000, Fy = 0.000000
[2025-12-04 14:55:05] (PID 30250) [DRONE] Input received, force updated, command: d, Fx = -1.750000, Fy = 0.000000
[2025-12-04 14:55:05] (PID 30250) [DRONE] Input received, force updated, command: d, Fx = -0.875000, Fy = 0.000000
[2025-12-04 14:55:05] (PID 30250) [DRONE] Input received, force updated, command: d, Fx = 0.000000, Fy = 0.000000
[2025-12-04 14:55:05] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 1.000000, Fy = 0.000000
[2025-12-04 14:55:06] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 2.000000, Fy = 0.000000
[2025-12-04 14:55:06] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 3.000000, Fy = 0.000000
[2025-12-04 14:55:06] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 4.000000, Fy = 0.000000
[2025-12-04 14:55:06] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 5.000000, Fy = 0.000000
[2025-12-04 14:55:06] (PID 30250) [DRONE] Input received, force updated, command: f, Fx = 6.000000, Fy = 0.000000
[2025-12-04 14:55:09] (PID 30250) [DRONE] Input received, force updated, command: c, Fx = 6.000000, Fy = 1.000000
[2025-12-04 14:55:13] (PID 30282) [BB] main terminato
[2025-12-04 14:55:14] (PID 30247) [OBST] Pipe chiusa da blackboard, termino.
[2025-12-04 14:55:14] (PID 30248) [TARG] Pipe chiusa da blackboard, termino.
[2025-12-04 14:55:14] (PID 30247) [OBST] Terminato correttamente.
[2025-12-04 14:55:14] (PID 30248) [TARG] Terminato correttamente.
[2025-12-04 14:55:14] (PID 30245) [MAIN] PROGRAM EXIT
